X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,5.143331369623985E-4,41.874140858067335,0.7178199407626165
2.0,2.0,train,6.892608850356315E-4,83.24326590079754,0.8164953535279633
3.0,3.0,train,6.849813700230118E-4,82.65499501548342,0.8145533605577848
4.0,4.0,train,9.80357521045231E-4,97.3131552836226,0.910326944132854
5.0,5.0,train,7.017451433138887E-4,85.11900357968328,0.8220451409252529
6.0,6.0,train,5.657550567292577E-4,55.45653643910819,0.7513484763844638
7.0,7.0,train,6.953577350950361E-4,84.53063310236836,0.819226959328569
8.0,8.0,train,6.032724073112701E-4,68.53801032110788,0.7732692139299205
9.0,9.0,train,7.412277789742591E-4,88.64063330654386,0.8385159393326194
10.0,10.0,train,6.822051060849056E-4,82.15817582623858,0.8132825476610644
11.0,11.0,train,6.735143414942706E-4,80.4798078677582,0.8092478451674205
12.0,12.0,train,7.448495429803697E-4,89.02409602129826,0.8399482417255637
13.0,13.0,train,5.111370304126087E-4,41.12230737666003,0.7155926649459807
14.0,14.0,train,4.894579769475608E-4,34.76218353768227,0.700013981290712
15.0,15.0,train,6.056922325465932E-4,69.30434702241729,0.7746148283631678
16.0,16.0,train,7.20623039015564E-4,87.01613179188955,0.8301200323562423
17.0,17.0,train,6.584699087572438E-4,78.09686643841023,0.8020562657084445
18.0,18.0,train,6.731346774673576E-4,80.28904480463781,0.8090696114778705
19.0,19.0,train,6.191534739994125E-4,71.26053573649092,0.7819558735814769
20.0,20.0,train,5.851042390795116E-4,61.53455237856595,0.7629063310829085
21.0,21.0,train,6.895731045891269E-4,83.28291735027364,0.8166362364906735
22.0,22.0,train,5.670066990134689E-4,55.935131189898826,0.7521128769879211
23.0,23.0,train,5.917018265695857E-4,65.3936101699866,0.7667231695736072
24.0,24.0,train,6.928913867781266E-4,83.83113200356205,0.8181268793888986
25.0,25.0,train,6.410542599687594E-4,75.29497725006095,0.7933919260237093
26.0,26.0,train,6.839652596819534E-4,82.52705093299343,0.8140892506967008
27.0,27.0,train,6.811080071186576E-4,81.77639960365785,0.8127779619409259
28.0,28.0,train,6.268683670549302E-4,72.53587982758111,0.7860548734096429
29.0,29.0,train,8.490142028253506E-4,92.50218886071454,0.8761263323811951
30.0,30.0,train,5.319169022756266E-4,46.93542044977019,0.729765254622718
31.0,31.0,train,6.874029667324588E-4,83.00730942662511,0.8156547628646825
32.0,32.0,train,4.251655806451441E-4,22.697446815058225,0.6486127251183732
33.0,33.0,train,7.241129716593567E-4,87.30195752589928,0.8315721922524345
34.0,34.0,train,7.07870318666541E-4,85.53331208262041,0.8247063483794927
35.0,35.0,train,6.504359185586167E-4,76.76498973091158,0.7981054238354872
36.0,36.0,train,6.286258592172036E-4,73.00726836665396,0.7869778175703223
37.0,37.0,train,5.798339902649233E-4,59.756108123584404,0.7598125658264351
38.0,38.0,train,5.734557294895305E-4,57.53767194839465,0.7560143284247313
39.0,39.0,train,3.6540695925949245E-4,18.493071500673544,0.5929689767648556
40.0,40.0,train,4.099798078971221E-4,21.09619083370943,0.6352382143030142
41.0,41.0,train,6.192369511751143E-4,71.28139457599406,0.7820006434302309
42.0,42.0,train,4.3572641026320947E-4,23.77346630244598,0.6576237288514903
43.0,43.0,train,7.17199629998457E-4,86.50995671437913,0.8286833889862667
44.0,44.0,train,5.530882054938826E-4,52.47261834278233,0.7434787146789827
45.0,45.0,train,4.283013527060065E-4,23.001451231443543,0.6513127928726856
46.0,46.0,train,6.829638869519516E-4,82.29025954657999,0.813630735912834
47.0,47.0,train,5.560982677891155E-4,52.83926155268662,0.7453711023143448
